agent_name,agent_label,seed_count,episode_count_per_seed,first_12_reward_mean,last_12_reward_mean,last_12_reward_std,delta_last12_minus_first12,best_ma12_mean,best_ma12_episode,last_12_success_rate
sa_ghmappo,SA-GHMAPPO,5,96,76.30216666666666,80.65933333333331,25.548469712152396,4.357166666666643,86.62633333333333,20,0.5
mappo,MAPPO,5,96,78.68250000000002,79.98433333333334,23.527416561460743,1.3018333333333203,83.71866666666668,40,0.4
ppo,PPO,5,96,76.21466666666669,79.94850000000001,22.532304931108904,3.7338333333333225,82.7875,80,0.38333333333333336
cache_offload_drl,Cache-Offload DRL,5,96,78.51616666666665,79.51633333333334,22.219539650044215,1.0001666666666864,85.53533333333333,80,0.4666666666666667
controller_mat,Controller-MAT,5,96,77.35266666666666,78.59516666666667,22.051728130263925,1.2425000000000068,84.67049999999999,60,0.38333333333333336
dag_offload_drl,DAG-Offload DRL,5,96,78.23166666666664,78.58300000000001,23.073798428050488,0.3513333333333719,85.275,2,0.43333333333333335
dt_handoff_drl,DT-Handoff DRL,5,96,78.57783333333332,77.61366666666666,21.674417472411147,-0.9641666666666566,84.313,80,0.45
qmix,QMIX,5,96,71.26533333333334,69.02666666666667,24.57086511357259,-2.238666666666674,79.155,2,0.36666666666666664
dqn,DQN,5,96,67.17983333333333,64.24866666666667,23.760982222084003,-2.9311666666666696,78.19,2,0.26666666666666666
dueling_dqn,Dueling DQN,5,96,62.22616666666667,60.16033333333334,20.675629637424702,-2.0658333333333303,72.6225,4,0.2
